Order Name,Created at,Source Name,Total Discounts,Order Status,Total Product,Store,Carrier Status Code,Cancel Reason,Sales Program,Giới tính,Funnel,Category,Sub-category,Price,Subtotal Price
100643,7/1/2023,Zalo,0,prepared,1,37 Nguyễn Văn Huyên,prepared,,Đặt trước,Chị,,Áo (mùa hè),Áo dây,180000,180000
100656,7/1/2023,Facebook,0,cancel,1,Kho Online,cancel,Khách suy nghĩ thêm,,Chị,,Daily use,Blazer,450000,450000
100660,7/1/2023,Facebook,0,cancel,1,37 Nguyễn Văn Huyên,cancel,Trả góp không thành công,Đặt trước,Chị,,Daily use,Blazer,450000,450000
100676,7/1/2023,Facebook,0,cancel,1,Kho Online,cancel,Đơn hàng spam,,Chị,,Váy,Chân váy,310000,310000
100706,7/1/2023,Trực tiếp - Cửa hàng,300000,complete,1,37 Nguyễn Văn Huyên,complete,,Mua tại quầy,Chị,,Daily use,Blazer,450000,450000
100725,7/1/2023,Hotline,0,complete,1,27 Khâm Thiên,complete,,Đặt trước,Chị,,Daily use,Blazer,450000,450000
100728,7/1/2023,Hotline,0,prepared,1,37 Nguyễn Văn Huyên,prepared,,Đặt trước,Chị,,Áo (mùa hè),Áo phông,300000,300000
100735,7/1/2023,Trực tiếp - Cửa hàng,0,complete,1,89 Láng Hạ,complete,,Mua tại quầy,Chị,,Váy,Chân váy,310000,310000
100742,7/1/2023,Facebook,0,complete,1,Kho Online,complete,,Hãng vận chuyển,Chị,,Daily use,Blazer,450000,450000
100769,7/1/2023,Instagram,0,prepared,1,Kho Online,prepared,,Đặt trước,Chị,,Daily use,Blazer,450000,450000
100776,7/1/2023,Facebook,0,complete,1,Kho Online,complete,,Hãng vận chuyển,Chị,,Quần,Quần ống rộng,380000,380000
100788,7/1/2023,Facebook,299000,confirmed,1,KHO ĐƠN HÀNG,confirmed,,Hãng vận chuyển,Chị,,Váy,Chân váy,310000,310000
100805,7/1/2023,Facebook,0,complete,1,Kho Online,complete,,Hãng vận chuyển,Chị,,Váy,Chân váy,310000,310000
100810,7/1/2023,Hotline,0,prepared,1,37 Nguyễn Văn Huyên,prepared,,Đặt trước,Chị,,Áo (mùa hè),Áo phông,300000,300000
100811,7/1/2023,Hotline,0,complete,1,37 Nguyễn Văn Huyên,complete,,Đặt trước,Chị,,Quần,Quần ống rộng,380000,380000
100822,7/1/2023,Hotline,0,complete,1,37 Nguyễn Văn Huyên,complete,,Đặt trước,Chị,,Quần,Quần ống rộng,380000,380000
100836,7/1/2023,Facebook,0,complete,1,Kho Online,complete,,Đặt trước,Chị,,Quần,Quần ống rộng,380000,380000
100852,7/1/2023,Hotline,0,prepared,1,37 Nguyễn Văn Huyên,prepared,,Đặt trước,Chị,,Váy,Chân váy,310000,310000
100855,7/1/2023,Instagram,0,prepared,1,37 Nguyễn Văn Huyên,prepared,,Đặt trước,Chị,,Váy,Chân váy,310000,310000
100893,7/1/2023,Hotline,0,complete,1,37 Nguyễn Văn Huyên,complete,,Đặt trước,Chị,,Váy,Chân váy,310000,310000
102279,7/1/2023,Trực tiếp - Cửa hàng,0,complete,1,37 Nguyễn Văn Huyên,complete,,Mua tại quầy,Chị,,Daily use,Áo croptop sơ mi,280000,280000
103842,7/1/2023,Trực tiếp - Cửa hàng,0,complete,1,37 Nguyễn Văn Huyên,complete,,Mua tại quầy,Chị,Telesale,Quần,Quần ống rộng,380000,380000
105149,7/1/2023,Facebook,0,complete,1,Kho Online,complete,,Hãng vận chuyển,Chị,,Váy,Chân váy,310000,310000
102374,7/1/2023,Facebook,0,complete,1,37 Nguyễn Văn Huyên,complete,,Đặt trước,Chị,,Váy,Chân váy,310000,310000
102586,7/1/2023,Facebook,0,complete,1,Kho Online,complete,,Hãng vận chuyển,Chị,,Trang sức sự kiện,Thắt lưng đính đá,200000,200000
103227,7/1/2023,Facebook,0,confirmed,1,37 Nguyễn Văn Huyên,confirmed,,Đặt trước,Chị,,Quần,Quần jeans,370000,370000
103918,7/1/2023,Trực tiếp - Cửa hàng,0,complete,1,37 Nguyễn Văn Huyên,complete,,Mua tại quầy,Chị,,Váy,Chân váy,310000,310000
105230,7/1/2023,Facebook,0,complete,1,Kho Online,complete,,Hãng vận chuyển,Chị,,Quần,Quần jeans,370000,370000
105459,7/1/2023,Facebook,0,complete,1,37 Nguyễn Văn Huyên,complete,,Đặt trước,Chị,,Quần,Quần tây,420000,420000
101167,7/1/2023,Facebook,0,complete,1,37 Nguyễn Văn Huyên,complete,,Hãng vận chuyển,Chị,,Quần,Quần ống rộng,380000,380000
101168,7/1/2023,Zalo,0,prepared,1,37 Nguyễn Văn Huyên,prepared,,Đặt trước,Chị,,Quần,Quần ống rộng,380000,380000
101174,7/1/2023,Facebook,0,complete,1,37 Nguyễn Văn Huyên,complete,,Hãng vận chuyển,Chị,,Áo (mùa hè),Áo phông,300000,300000
101193,7/1/2023,Facebook,0,complete,1,Kho Online,complete,,Hãng vận chuyển,Chị,,Áo (mùa hè),Áo phông,300000,300000
101201,7/1/2023,Hotline,0,complete,1,37 Nguyễn Văn Huyên,complete,,Đặt trước,Chị,,Quần,Quần ống rộng,380000,380000
101203,7/1/2023,Facebook,0,complete,1,Kho Online,complete,,Hãng vận chuyển,Chị,,Quần,Quần ống rộng,380000,380000
101225,7/1/2023,Instagram,0,prepared,1,37 Nguyễn Văn Huyên,prepared,,Đặt trước,Chị,,Áo (mùa hè),Áo dây,180000,180000
101229,7/1/2023,Facebook,0,prepared,1,Kho Online,prepared,,Đặt trước,Chị,,Quần,Quần ống rộng,380000,380000
101240,7/1/2023,Hotline,0,confirmed,1,37 Nguyễn Văn Huyên,confirmed,,Đặt trước,Chị,,Quần,Quần jeans,370000,370000
101258,7/1/2023,Hotline,0,complete,1,37 Nguyễn Văn Huyên,complete,,Đặt trước,Chị,,Quần,Quần ống rộng,380000,380000
101281,7/1/2023,Hotline,0,complete,1,37 Nguyễn Văn Huyên,complete,,Đặt trước,Chị,,Quần,Quần jeans,370000,370000
101282,7/1/2023,Hotline,0,complete,1,37 Nguyễn Văn Huyên,complete,,Đặt trước,Chị,,Quần,Quần ống rộng,380000,380000
101308,7/1/2023,Facebook,0,complete,1,Kho Online,complete,,Hãng vận chuyển,Chị,,Quần,Quần ống rộng,380000,380000
101311,7/1/2023,Hotline,0,prepared,1,37 Nguyễn Văn Huyên,prepared,,Đặt trước,Anh,,Quần,Quần ống rộng,380000,380000
101328,7/1/2023,Hotline,0,complete,1,37 Nguyễn Văn Huyên,complete,,Đặt trước,Chị,,Quần,Quần ống rộng,380000,380000
101333,7/1/2023,Tik Tok,0,carrier_delivery,1,KHO ĐƠN HÀNG,carrier_delivery,,Hãng vận chuyển,Anh,,Daily use,Blazer,450000,450000
101359,7/1/2023,Hotline,0,confirmed,1,Kho Online,confirmed,,Đặt trước,Chị,,Áo (mùa hè),Áo dây,180000,180000
101365,7/1/2023,Hotline,0,confirmed,1,Kho Online,confirmed,,Đặt trước,Chị,,Daily use,Blazer,450000,450000
101374,7/1/2023,Facebook,0,prepared,1,Kho Online,prepared,,Đặt trước,Chị,,Áo (mùa hè),Áo dây,180000,180000
101380,7/1/2023,Facebook,0,complete,1,Kho Online,complete,,Hãng vận chuyển,Chị,,Quần,Quần tây,420000,420000
101417,7/1/2023,Facebook,0,complete,1,Kho Online,complete,,Hãng vận chuyển,Chị,,Daily use,Blazer,450000,450000
101433,7/1/2023,Facebook,0,complete,1,Kho Online,complete,,Hãng vận chuyển,Chị,,Daily use,Blazer,450000,450000
101453,7/1/2023,Facebook,0,complete,1,37 Nguyễn Văn Huyên,complete,,Đặt trước,Chị,,Áo (mùa hè),Áo phông,300000,300000
101462,7/1/2023,Facebook,0,complete,1,37 Nguyễn Văn Huyên,complete,,Đặt trước,Chị,,Daily use,Áo croptop sơ mi,280000,280000
100384,7/1/2023,Facebook,0,confirmed,1,KHO ĐƠN HÀNG,confirmed,,Hãng vận chuyển,Chị,,Quần,Quần jeans,370000,370000
100396,7/1/2023,Trực tiếp - Cửa hàng,0,complete,1,37 Nguyễn Văn Huyên,complete,,Mua tại quầy,Chị,,Daily use,Blazer,450000,450000
100414,7/1/2023,Zalo,0,confirmed,1,37 Nguyễn Văn Huyên,confirmed,,Đặt trước,Anh,,Quần,Quần tây,420000,420000
100415,7/1/2023,Zalo,0,confirmed,1,37 Nguyễn Văn Huyên,confirmed,,Đặt trước,Anh,,Áo (mùa hè),Áo dây,180000,180000
100421,7/1/2023,Trực tiếp - Cửa hàng,50000,complete,1,37 Nguyễn Văn Huyên,complete,,Mua tại quầy,Anh,,Quần,Quần jeans,370000,370000
